Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Highlights,Milk Free,Warnings,"Fresh, plump, and bursting with flavor, Naturipe Blueberries are a must-have for any fruit lover. Packed in an 18 oz bag, these blueberries are the perfect addition to your morning smoothie, afternoon snack, or dessert topping. Not only are they delicious, but they're also vegan and vegetarian-friendly! These little powerhouses of nutrition are loaded with antioxidants and vitamin C to help support a healthy immune system. With Instacart's same-day delivery or pickup, you can enjoy these tasty treats without ever leaving your home. Simply add Naturipe Blueberries to your next order and enjoy their sweet goodness in no time!",Gluten Free,"Say hello to Sunset Sugar Bombs! These delightful Grape Tomatoes On-The-Vine are perfect for a variety of dishes. They're vegan and vegetarian, so you can enjoy them regardless of your dietary restrictions. Each 12oz container is packed with juicy, sweet tomatoes that burst with flavor in every bite. Whether you're making a salad, cooking up a storm, or simply enjoying a snack, these Sugar Bombs will satisfy your cravings. With Instacart's same-day delivery or pickup, you can have these beauties at your doorstep in no time. So why wait? Go ahead and add Sunset Sugar Bombs to your next shopping list today!"
Green Beans,,$2.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a75aedfd-3420-4c89-a24d-021e9bf75269.png 4x,,,,,,,,,
Organic Broccoli,,$2.08, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cc10c0fe-ec5a-44fa-9880-17c410ee607a.jpg 4x,,,,,,,,,
Red Delicious Apple,,$0.91, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_df283728-1437-495c-b26e-29dcf56ae14f.jpg 4x,,,,,,,,,
"Fresh Express Salad, Sweet Butter",$3.49,$4.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0e667623-6c0d-4019-8da1-03ff5c08b39f.jpeg 4x,"Thoroughly washed. Ready to eat. Why we're so fresh: To guarantee Fresh Express Salads are consistently, deliciously fresh, we: Cool our salads within hours of harvest and keep them chilled from field to store. Thoroughly rinse and gently dry; then seal them in our keep-crisp bag to maintain freshness. Deliver fresh salad daily.,• Excellent source of vitamin K; Good source of vitamin A. No preservatives.,• No Preservatives/No Artificial Preservatives",Green Butter Lettuce And Red Leaf Lettuce.,Reseal for freshness. Keep refrigerated.,,,,,,
Organic Green Cabbage,,$3.31, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_844dd437-0e95-4d78-aac6-fc617078c290.png 4x,,,,,,,,,
Organic Girl Organic Baby Arugula,,$5.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8a66a9fd-a0a4-4448-a08c-71a50350df5e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0e5d7438-8f93-48f0-98ff-285d856071f7.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8df9398e-ed64-40af-bb7b-09835cb3a94b.jpg 4x","The peppery green for salads & cooking. The wild child of greens! organicgirl baby arugula is most definitely greens with an attitude! One bite and you’ll quickly understand – baby arugula is spicy, peppery & flavorful with a bit of attitude.,• USDA organic,• High in calcium,• Excellent source of vitamin C",Organic Baby Arugula Leaves.,"What to do with Arugula? Go Italian! Use it as your salad base; add your favorite salad add-ons and dressing. Add it to your favorite lettuces for a peppery accent to salads. Put it on top of pizza just from the oven - like they do in Italy. Blend it into your favorite pasta dish for flavor. Serve wilted arugula as a side dish - saute in oil for 3 minutes. Cook with spinach for a change of pace.,Perishable, keep refrigerated.",,,,,,
Jalapeno Pepper,,$0.52, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5467cf80-5ccb-453c-8706-2399d0cdd859.jpg 4x,,,,,,,,,
Coconut,,$3.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_227fcb58-a0f8-47e5-9c53-1866ce328195.png 4x,,,,,,,,,
Asparagus,,$10.19, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8d89cd38-6e96-4402-864e-55f9fa126b43.jpg 4x,,,,,,,,,
Yellow Onion Bag,,$4.19, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3a35d01a-1617-4bca-aea7-27e353d65e35.jpg 4x,,,,,,,,,
